,FIPS,ML,County,State,Prediction
0,1003,0.83,Baldwin,Alabama,34
1,1013,1,Butler,Alabama,28
2,1015,0.51,Calhoun,Alabama,17
3,1017,0.89,Chambers,Alabama,25
4,1031,0.85,Coffee,Alabama,32
5,1055,0.94,Etowah,Alabama,25
6,1059,0.08,Franklin,Alabama,28
7,1073,1,Jefferson,Alabama,123
8,1081,1.04,Lee,Alabama,61
9,1085,1.52,Lowndes,Alabama,34
10,1089,,Madison,Alabama,28
11,1095,0.89,Marshall,Alabama,55
12,1097,1.15,Mobile,Alabama,265
13,1101,1.19,Montgomery,Alabama,133
14,1117,0.87,Shelby,Alabama,26
15,1123,0.91,Tallapoosa,Alabama,26
16,1125,0.95,Tuscaloosa,Alabama,38
17,2020,0.86,Anchorage,Alaska,16
18,2090,0.13,Fairbanks North Star,Alaska,1
19,4001,1.46,Apache,Arizona,190
20,4005,1.23,Coconino,Arizona,128
21,4013,1.33,Maricopa,Arizona,1282
22,4015,1.46,Mohave,Arizona,52
23,4017,1.17,Navajo,Arizona,171
24,4019,1.04,Pima,Arizona,224
25,4021,1.16,Pinal,Arizona,107
26,4027,1.69,Yuma,Arizona,51
27,5007,0.11,Benton,Arkansas,21
28,5035,0.95,Crittenden,Arkansas,29
29,5069,0.89,Jefferson,Arkansas,32
30,5075,0,Lawrence,Arkansas,17
31,5079,1.09,Lincoln,Arkansas,308
32,5119,1.07,Pulaski,Arkansas,106
33,5123,0.57,St. Francis,Arkansas,7
35,6001,1.04,Alameda,California,333
36,6013,1.12,Contra Costa,California,141
37,6019,1.2,Fresno,California,140
38,6025,1.24,Imperial,California,82
39,6029,1.08,Kern,California,184
40,6031,1.88,Kings,California,71
41,6037,1.18,Los Angeles,California,6642
42,6041,0.96,Marin,California,28
43,6047,0.08,Merced,California,31
44,6053,1.17,Monterey,California,49
45,6059,1.27,Orange,California,602
46,6065,1.08,Riverside,California,963
47,6067,0.94,Sacramento,California,86
48,6071,1.31,San Bernardino,California,566
49,6073,1.2,San Diego,California,816
50,6075,0.96,San Francisco,California,205
51,6077,0.98,San Joaquin,California,48
52,6079,1,San Luis Obispo,California,34
53,6081,1.19,San Mateo,California,239
54,6083,0.92,Santa Barbara,California,36
55,6085,0.89,Santa Clara,California,172
56,6095,1.35,Solano,California,67
57,6097,0.96,Sonoma,California,35
58,6099,1.18,Stanislaus,California,95
59,6107,1.33,Tulare,California,202
61,6111,1.08,Ventura,California,77
62,6113,0.75,Yolo,California,2
63,8001,1.24,Adams,Colorado,465
64,8005,1.1,Arapahoe,Colorado,637
