state-county,Date,ML
Wisconsin-Milwaukee,2020-03-20,0.0
Wisconsin-Milwaukee,2020-03-21,1.9000000000000001
Wisconsin-Milwaukee,2020-03-22,1.95
Wisconsin-Milwaukee,2020-03-23,1.86
Wisconsin-Milwaukee,2020-03-24,1.75
Wisconsin-Milwaukee,2020-03-25,1.8800000000000001
Wisconsin-Milwaukee,2020-03-26,1.87
Wisconsin-Milwaukee,2020-03-27,1.81
Wisconsin-Milwaukee,2020-03-28,1.72
Wisconsin-Milwaukee,2020-03-29,1.59
Wisconsin-Milwaukee,2020-03-30,1.52
Wisconsin-Milwaukee,2020-03-31,1.54
Wisconsin-Milwaukee,2020-04-01,1.47
Wisconsin-Milwaukee,2020-04-02,1.53
Wisconsin-Milwaukee,2020-04-03,1.51
Wisconsin-Milwaukee,2020-04-04,1.45
Wisconsin-Milwaukee,2020-04-05,1.3900000000000001
Wisconsin-Milwaukee,2020-04-06,1.33
Wisconsin-Milwaukee,2020-04-07,1.27
Wisconsin-Milwaukee,2020-04-08,1.26
Wisconsin-Milwaukee,2020-04-09,1.19
Wisconsin-Milwaukee,2020-04-10,1.16
Wisconsin-Milwaukee,2020-04-11,1.11
Wisconsin-Milwaukee,2020-04-12,1.06
Wisconsin-Milwaukee,2020-04-13,1.05
Wisconsin-Milwaukee,2020-04-14,1.04
Wisconsin-Milwaukee,2020-04-15,1.05
Wisconsin-Milwaukee,2020-04-16,1.07
Wisconsin-Milwaukee,2020-04-17,1.07
Wisconsin-Milwaukee,2020-04-18,1.06
Wisconsin-Milwaukee,2020-04-19,1.03
Wisconsin-Milwaukee,2020-04-20,1.02
Wisconsin-Milwaukee,2020-04-21,1.02
Wisconsin-Milwaukee,2020-04-22,1.04
Wisconsin-Milwaukee,2020-04-23,1.07
Wisconsin-Milwaukee,2020-04-24,1.09
Wisconsin-Milwaukee,2020-04-25,1.1
Wisconsin-Milwaukee,2020-04-26,1.09
Wisconsin-Milwaukee,2020-04-27,1.09
Wisconsin-Milwaukee,2020-04-28,1.11
Wisconsin-Milwaukee,2020-04-29,1.1300000000000001
Wisconsin-Milwaukee,2020-04-30,1.1500000000000001
