,FIPS,ML,County,State,Prediction
0,1003.0,0.8300000000000001,Baldwin,Alabama,34
1,1013.0,1.0,Butler,Alabama,28
2,1015.0,0.51,Calhoun,Alabama,17
3,1017.0,0.89,Chambers,Alabama,25
4,1031.0,0.85,Coffee,Alabama,32
5,1055.0,0.94,Etowah,Alabama,25
6,1059.0,0.08,Franklin,Alabama,28
7,1073.0,1.0,Jefferson,Alabama,123
8,1081.0,1.04,Lee,Alabama,61
9,1085.0,1.52,Lowndes,Alabama,34
10,1089.0,,Madison,Alabama,28
11,1095.0,0.89,Marshall,Alabama,55
12,1097.0,1.15,Mobile,Alabama,265
13,1101.0,1.19,Montgomery,Alabama,133
14,1117.0,0.87,Shelby,Alabama,26
15,1123.0,0.91,Tallapoosa,Alabama,26
16,1125.0,0.95,Tuscaloosa,Alabama,38
17,2020.0,0.86,Anchorage,Alaska,16
18,2090.0,0.13,Fairbanks North Star,Alaska,1
19,4001.0,1.46,Apache,Arizona,190
20,4005.0,1.23,Coconino,Arizona,128
21,4013.0,1.33,Maricopa,Arizona,1282
22,4015.0,1.46,Mohave,Arizona,52
23,4017.0,1.17,Navajo,Arizona,171
24,4019.0,1.04,Pima,Arizona,224
25,4021.0,1.16,Pinal,Arizona,107
26,4027.0,1.69,Yuma,Arizona,51
27,5007.0,0.11,Benton,Arkansas,21
28,5035.0,0.95,Crittenden,Arkansas,29
29,5069.0,0.89,Jefferson,Arkansas,32
30,5075.0,0.0,Lawrence,Arkansas,17
31,5079.0,1.09,Lincoln,Arkansas,308
32,5119.0,1.07,Pulaski,Arkansas,106
33,5123.0,0.5700000000000001,St. Francis,Arkansas,7
34,6001.0,1.04,Alameda,California,333
35,6013.0,1.12,Contra Costa,California,141
36,6019.0,1.2,Fresno,California,140
37,6025.0,1.24,Imperial,California,82
38,6029.0,1.08,Kern,California,184
39,6031.0,1.88,Kings,California,71
40,6037.0,1.18,Los Angeles,California,6642
41,6041.0,0.96,Marin,California,28
42,6047.0,0.08,Merced,California,31
43,6053.0,1.17,Monterey,California,49
44,6059.0,1.27,Orange,California,602
45,6065.0,1.08,Riverside,California,963
46,6067.0,0.94,Sacramento,California,86
47,6071.0,1.31,San Bernardino,California,566
48,6073.0,1.2,San Diego,California,816
49,6075.0,0.96,San Francisco,California,205
50,6077.0,0.98,San Joaquin,California,48
