Lookup,State,County,FIPS,Population,Date,Confirmed,Deaths,Date1,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,StateCounty
AutaugaAlabama2020-04-10,Alabama,Autauga,1001,55869,4/10/2020,17,1,4/10/2020,-30,12,-14,,-49,20,AlabamaAutauga
BaldwinAlabama2020-04-10,Alabama,Baldwin,1003,223234,4/10/2020,59,1,4/10/2020,-41,-13,-31,-40,-45,18,AlabamaBaldwin
BarbourAlabama2020-04-10,Alabama,Barbour,1005,24686,4/10/2020,9,0,4/10/2020,-18,-20,,,-37,,AlabamaBarbour
BibbAlabama2020-04-10,Alabama,Bibb,1007,22394,4/10/2020,11,0,4/10/2020,-42,-15,,,-42,,AlabamaBibb
BlountAlabama2020-04-10,Alabama,Blount,1009,57826,4/10/2020,12,0,4/10/2020,-25,3,,,-45,20,AlabamaBlount
BullockAlabama2020-04-10,Alabama,Bullock,1011,10101,4/10/2020,4,0,4/10/2020,-22,-27,,,-33,,AlabamaBullock
ButlerAlabama2020-04-10,Alabama,Butler,1013,19448,4/10/2020,3,0,4/10/2020,-47,-9,,-53,-50,,AlabamaButler
CalhounAlabama2020-04-10,Alabama,Calhoun,1015,113605,4/10/2020,54,0,4/10/2020,-35,-3,-22,,-52,20,AlabamaCalhoun
ChambersAlabama2020-04-10,Alabama,Chambers,1017,33254,4/10/2020,168,8,4/10/2020,-31,-4,,-40,-56,15,AlabamaChambers
CherokeeAlabama2020-04-10,Alabama,Cherokee,1019,26196,4/10/2020,7,0,4/10/2020,-41,-5,,,-40,,AlabamaCherokee
ChiltonAlabama2020-04-10,Alabama,Chilton,1021,44428,4/10/2020,26,0,4/10/2020,-30,0,,-34,-44,17,AlabamaChilton
ChoctawAlabama2020-04-10,Alabama,Choctaw,1023,12589,4/10/2020,6,0,4/10/2020,-13,-19,,,-43,,AlabamaChoctaw
ClarkeAlabama2020-04-10,Alabama,Clarke,1025,23622,4/10/2020,13,0,4/10/2020,-22,-29,,,-37,,AlabamaClarke
ClayAlabama2020-04-10,Alabama,Clay,1027,13235,4/10/2020,11,0,4/10/2020,-43,-20,,,-41,,AlabamaClay
CleburneAlabama2020-04-10,Alabama,Cleburne,1029,14910,4/10/2020,12,0,4/10/2020,-35,-13,,-34,-41,,AlabamaCleburne
CoffeeAlabama2020-04-10,Alabama,Coffee,1031,52342,4/10/2020,14,0,4/10/2020,-27,-6,,,-45,18,AlabamaCoffee
ColbertAlabama2020-04-10,Alabama,Colbert,1033,55241,4/10/2020,8,1,4/10/2020,-28,-4,-37,-22,-43,16,AlabamaColbert
ConecuhAlabama2020-04-10,Alabama,Conecuh,1035,12067,4/10/2020,3,0,4/10/2020,-65,-10,,-42,-36,,AlabamaConecuh
CoosaAlabama2020-04-10,Alabama,Coosa,1037,10663,4/10/2020,10,0,4/10/2020,,,,,-44,,AlabamaCoosa
CovingtonAlabama2020-04-10,Alabama,Covington,1039,37049,4/10/2020,10,0,4/10/2020,-30,0,,,-40,8,AlabamaCovington
CrenshawAlabama2020-04-10,Alabama,Crenshaw,1041,13772,4/10/2020,2,0,4/10/2020,-58,-10,,,-49,,AlabamaCrenshaw
CullmanAlabama2020-04-10,Alabama,Cullman,1043,83768,4/10/2020,30,1,4/10/2020,-34,6,38,-38,-46,20,AlabamaCullman
DaleAlabama2020-04-10,Alabama,Dale,1045,49172,4/10/2020,6,0,4/10/2020,-34,-10,,-25,-42,16,AlabamaDale
DallasAlabama2020-04-10,Alabama,Dallas,1047,37196,4/10/2020,11,0,4/10/2020,-27,0,,,-40,5,AlabamaDallas
DeKalbAlabama2020-04-10,Alabama,DeKalb,1049,71513,4/10/2020,17,0,4/10/2020,-34,-1,-4,-33,-43,17,AlabamaDeKalb
ElmoreAlabama2020-04-10,Alabama,Elmore,1051,81209,4/10/2020,29,0,4/10/2020,-28,3,46,,-50,21,AlabamaElmore
EscambiaAlabama2020-04-10,Alabama,Escambia,1053,36633,4/10/2020,5,0,4/10/2020,-34,-7,,,-43,7,AlabamaEscambia
EtowahAlabama2020-04-10,Alabama,Etowah,1055,102268,4/10/2020,63,5,4/10/2020,-39,-9,-23,-34,-46,18,AlabamaEtowah
FayetteAlabama2020-04-10,Alabama,Fayette,1057,16302,4/10/2020,2,0,4/10/2020,-39,,,,-32,,AlabamaFayette
FranklinAlabama2020-04-10,Alabama,Franklin,1059,31362,4/10/2020,8,0,4/10/2020,-19,-15,,,-39,5,AlabamaFranklin
GenevaAlabama2020-04-10,Alabama,Geneva,1061,26271,4/10/2020,0,0,4/10/2020,-42,10,,,-42,-2,AlabamaGeneva
GreeneAlabama2020-04-10,Alabama,Greene,1063,8111,4/10/2020,13,0,4/10/2020,11,-29,,-39,-44,,AlabamaGreene
HaleAlabama2020-04-10,Alabama,Hale,1065,14651,4/10/2020,7,0,4/10/2020,-41,-36,,,-45,,AlabamaHale
HenryAlabama2020-04-10,Alabama,Henry,1067,17205,4/10/2020,10,0,4/10/2020,-49,-19,,,-42,,AlabamaHenry
HoustonAlabama2020-04-10,Alabama,Houston,1069,105882,4/10/2020,33,1,4/10/2020,-37,-9,2,-34,-43,17,AlabamaHouston
JacksonAlabama2020-04-10,Alabama,Jackson,1071,51626,4/10/2020,22,2,4/10/2020,-35,0,,,-42,18,AlabamaJackson
JeffersonAlabama2020-04-10,Alabama,Jefferson,1073,658573,4/10/2020,536,14,4/10/2020,-41,-3,5,-44,-52,22,AlabamaJefferson
LamarAlabama2020-04-10,Alabama,Lamar,1075,13805,4/10/2020,7,0,4/10/2020,-32,0,,,-39,,AlabamaLamar
LauderdaleAlabama2020-04-10,Alabama,Lauderdale,1077,92729,4/10/2020,20,3,4/10/2020,-34,-6,-15,,-46,18,AlabamaLauderdale
LawrenceAlabama2020-04-10,Alabama,Lawrence,1079,32924,4/10/2020,8,0,4/10/2020,-41,-16,,,-48,7,AlabamaLawrence
LeeAlabama2020-04-10,Alabama,Lee,1081,164542,4/10/2020,209,6,4/10/2020,-43,-10,-14,,-53,24,AlabamaLee
LimestoneAlabama2020-04-10,Alabama,Limestone,1083,98915,4/10/2020,36,0,4/10/2020,-29,-1,-1,,-51,22,AlabamaLimestone
LowndesAlabama2020-04-10,Alabama,Lowndes,1085,9726,4/10/2020,12,0,4/10/2020,,,,-46,-54,,AlabamaLowndes
MaconAlabama2020-04-10,Alabama,Macon,1087,18068,4/10/2020,9,1,4/10/2020,-46,-5,,-43,-51,,AlabamaMacon
