FIPS,Admin2,Confirmed
01001,Autauga,30
01003,Baldwin,123
01005,Barbour,28
01007,Bibb,32
01009,Blount,26
01011,Bullock,11
01013,Butler,15
01015,Calhoun,83
01017,Chambers,259
01019,Cherokee,13
01021,Chilton,44
01023,Choctaw,18
01025,Clarke,24
01027,Clay,19
01029,Cleburne,12
01031,Coffee,68
01033,Colbert,16
01035,Conecuh,9
01037,Coosa,24
01039,Covington,26
01041,Crenshaw,6
01043,Cullman,45
01045,Dale,21
01047,Dallas,29
01049,DeKalb,51
01051,Elmore,73
01053,Escambia,17
01055,Etowah,109
01057,Fayette,4
01059,Franklin,18
01061,Geneva,4
01063,Greene,32
01065,Hale,34
01067,Henry,20
01069,Houston,73
01071,Jackson,41
01073,Jefferson,698
01075,Lamar,9
01077,Lauderdale,25
01079,Lawrence,10
01081,Lee,319
01083,Limestone,40
01085,Lowndes,32
01087,Macon,27
01089,Madison,203
01091,Marengo,35
01093,Marion,65
01095,Marshall,194
01097,Mobile,714
01099,Monroe,9
01101,Montgomery,245
01103,Morgan,51
01105,Perry,9
01107,Pickens,43
01109,Pike,46
01111,Randolph,59
01113,Russell,48
01115,St. Clair,59
01117,Shelby,273
01119,Sumter,44
01121,Talladega,50
01123,Tallapoosa,228
01125,Tuscaloosa,158
01127,Walker,91
01129,Washington,17
01131,Wilcox,49
01133,Winston,10
02013,Aleutians East,0
02016,Aleutians West,0
02020,Anchorage,160
02050,Bethel,1
02060,Bristol Bay,0
02068,Denali,0
02070,Dillingham,0
02090,Fairbanks North Star,79
02100,Haines,0
02105,Hoonah-Angoon,0
02110,Juneau,26
02122,Kenai Peninsula,19
02130,Ketchikan Gateway,16
02150,Kodiak Island,1
02158,Kusilvak,0
02164,Lake and Peninsula,0
02170,Matanuska-Susitna,19
02180,Nome,1
02185,North Slope,0
02188,Northwest Arctic,0
02195,Petersburg,3
02198,Prince of Wales-Hyder,2
02220,Sitka,0
02230,Skagway,0
02240,Southeast Fairbanks,1
02261,Valdez-Cordova,0
02275,Wrangell,0
02282,Yakutat,0
02290,Yukon-Koyukuk,1
04001,Apache,226
04003,Cochise,29
04005,Coconino,342
04007,Gila,9
04009,Graham,2
04011,Greenlee,2
04012,La Paz,6
04013,Maricopa,2738
04015,Mohave,59
04017,Navajo,485
04019,Pima,963
04021,Pinal,268
04023,Santa Cruz,23
04025,Yavapai,72
04027,Yuma,32
05001,Arkansas,2
05003,Ashley,12
05005,Baxter,5
05007,Benton,66
05009,Boone,3
05011,Bradley,7
05013,Calhoun,0
05015,Carroll,2
05017,Chicot,7
05019,Clark,27
05021,Clay,1
05023,Cleburne,71
05025,Cleveland,8
05027,Columbia,5
05029,Conway,5
05031,Craighead,45
05033,Crawford,4
05035,Crittenden,145
05037,Cross,8
05039,Dallas,1
05041,Desha,7
05043,Drew,6
05045,Faulkner,62
05047,Franklin,1
05049,Fulton,0
05051,Garland,109
05053,Grant,11
05055,Greene,9
05057,Hempstead,5
05059,Hot Spring,8
05061,Howard,14
05063,Independence,8
05065,Izard,2
05067,Jackson,1
05069,Jefferson,126
05071,Johnson,22
05073,Lafayette,4
05075,Lawrence,26
05077,Lee,3
05079,Lincoln,258
05081,Little River,0
05083,Logan,3
05085,Lonoke,26
05087,Madison,1
05089,Marion,1
05091,Miller,30
05093,Mississippi,9
05095,Monroe,4
05097,Montgomery,0
05099,Nevada,1
05101,Newton,2
05103,Ouachita,5
05105,Perry,3
05107,Phillips,4
05109,Pike,2
05111,Poinsett,10
05113,Polk,7
05115,Pope,35
05117,Prairie,2
05119,Pulaski,390
05121,Randolph,14
05123,St. Francis,65
05125,Saline,45
05127,Scott,1
05129,Searcy,6
05131,Sebastian,11
05133,Sevier,10
05135,Sharp,2
05137,Stone,7
05139,Union,26
05141,Van Buren,26
05143,Washington,59
05145,White,29
05147,Woodruff,1
05149,Yell,2
06001,Alameda,1241
06003,Alpine,1
06005,Amador,7
06007,Butte,16
06009,Calaveras,12
06011,Colusa,3
06013,Contra Costa,749
06015,Del Norte,2
06017,El Dorado,38
06019,Fresno,351
06021,Glenn,4
06023,Humboldt,52
06025,Imperial,175
06027,Inyo,18
06029,Kern,671
06031,Kings,32
06033,Lake,6
06035,Lassen,0
06037,Los Angeles,15153
06039,Madera,36
06041,Marin,199
06043,Mariposa,0
06045,Mendocino,5
06047,Merced,92
06049,Modoc,0
06051,Mono,24
06053,Monterey,148
06055,Napa,48
06057,Nevada,38
06059,Orange,1691
06061,Placer,133
06063,Plumas,4
06065,Riverside,2847
06067,Sacramento,954
06069,San Benito,44
06071,San Bernardino,1489
06073,San Diego,2325
06075,San Francisco,1231
06077,San Joaquin,449
06079,San Luis Obispo,134
06081,San Mateo,935
06083,Santa Barbara,416
06085,Santa Clara,1922
06087,Santa Cruz,108
06089,Shasta,26
06091,Sierra,0
06093,Siskiyou,5
06095,Solano,180
06097,Sonoma,182
06099,Stanislaus,232
06101,Sutter,26
06103,Tehama,1
06105,Trinity,0
06107,Tulare,422
06109,Tuolumne,2
06111,Ventura,428
06113,Yolo,142
06115,Yuba,16
08001,Adams,996
08003,Alamosa,9
08005,Arapahoe,1649
08007,Archuleta,7
08009,Baca,10
08011,Bent,0
08013,Boulder,390
08014,Broomfield,106
08015,Chaffee,38
08017,Cheyenne,0
08019,Clear Creek,11
08021,Conejos,0
08023,Costilla,3
08025,Crowley,2
08027,Custer,2
08029,Delta,25
08031,Denver,2004
08033,Dolores,0
08035,Douglas,384
08037,Eagle,487
08039,Elbert,24
08041,El Paso,744
08043,Fremont,11
08045,Garfield,71
08047,Gilpin,1
08049,Grand,5
08051,Gunnison,121
08053,Hinsdale,3
08055,Huerfano,1
08057,Jackson,0
08059,Jefferson,1011
08061,Kiowa,0
08063,Kit Carson,18
08065,Lake,8
08067,La Plata,51
08069,Larimer,250
08071,Las Animas,3
08073,Lincoln,3
08075,Logan,23
08077,Mesa,35
08079,Mineral,2
08081,Moffat,6
08083,Montezuma,13
08085,Montrose,80
08087,Morgan,180
08089,Otero,7
08091,Ouray,5
08093,Park,6
08095,Phillips,5
08097,Pitkin,58
08099,Prowers,1
08101,Pueblo,92
08103,Rio Blanco,1
08105,Rio Grande,7
08107,Routt,51
08109,Saguache,3
08111,San Juan,0
08113,San Miguel,17
08115,Sedgwick,0
08117,Summit,93
08119,Teller,25
08121,Washington,6
08123,Weld,1180
08125,Yuma,3
09001,Fairfield,8472
09003,Hartford,3951
09005,Litchfield,643
09007,Middlesex,512
09009,New Haven,5493
09011,New London,369
09013,Tolland,305
09015,Windham,112
10001,Kent,459
10003,New Castle,1303
10005,Sussex,1139
11001,District of Columbia,3098
12001,Alachua,224
12003,Baker,17
12005,Bay,58
12007,Bradford,42
12009,Brevard,224
12011,Broward,4168
12013,Calhoun,6
12015,Charlotte,143
12017,Citrus,92
12019,Clay,256
12021,Collier,477
12023,Columbia,43
12027,DeSoto,24
12029,Dixie,4
12031,Duval,909
12033,Escambia,340
12035,Flagler,78
12037,Franklin,2
12039,Gadsden,57
12041,Gilchrist,4
12043,Glades,5
12045,Gulf,1
12047,Hamilton,4
12049,Hardee,4
12051,Hendry,46
12053,Hernando,84
12055,Highlands,71
12057,Hillsborough,979
12059,Holmes,8
12061,Indian River,85
12063,Jackson,11
12065,Jefferson,26
12067,Lafayette,1
12069,Lake,213
12071,Lee,795
12073,Leon,186
12075,Levy,12
12077,Liberty,2
12079,Madison,26
12081,Manatee,443
12083,Marion,130
12085,Martin,160
12086,Miami-Dade,10056
12087,Monroe,73
12089,Nassau,46
12091,Okaloosa,134
12093,Okeechobee,8
12095,Orange,1235
12097,Osceola,417
12099,Palm Beach,2320
12101,Pasco,213
12103,Pinellas,632
12105,Polk,356
12107,Putnam,59
12109,St. Johns,194
12111,St. Lucie,206
12113,Santa Rosa,139
12115,Sarasota,297
12117,Seminole,328
12119,Sumter,163
12121,Suwannee,102
12123,Taylor,2
12125,Union,3
12127,Volusia,366
12129,Wakulla,15
12131,Walton,32
12133,Washington,9
13001,Appling,21
13003,Atkinson,5
13005,Bacon,19
13007,Baker,20
13009,Baldwin,132
13011,Banks,15
13013,Barrow,99
13015,Bartow,256
13017,Ben Hill,19
13019,Berrien,10
13021,Bibb,203
13023,Bleckley,5
13025,Brantley,20
13027,Brooks,30
13029,Bryan,34
13031,Bulloch,31
13033,Burke,51
13035,Butts,82
13037,Calhoun,61
13039,Camden,27
13043,Candler,7
13045,Carroll,307
13047,Catoosa,26
13049,Charlton,7
13051,Chatham,185
13053,Chattahoochee,7
13055,Chattooga,10
13057,Cherokee,322
13059,Clarke,114
13061,Clay,20
13063,Clayton,546
13065,Clinch,7
13067,Cobb,1215
13069,Coffee,83
13071,Colquitt,154
13073,Columbia,120
13075,Cook,13
13077,Coweta,170
13079,Crawford,14
13081,Crisp,125
13083,Dade,12
13085,Dawson,45
13087,Decatur,59
13089,DeKalb,1534
13091,Dodge,19
13093,Dooly,73
13095,Dougherty,1446
13097,Douglas,244
13099,Early,173
13101,Echols,4
13103,Effingham,29
13105,Elbert,7
13107,Emanuel,14
13109,Evans,4
13111,Fannin,19
13113,Fayette,144
13115,Floyd,127
13117,Forsyth,213
13119,Franklin,12
13121,Fulton,2208
13123,Gilmer,18
13125,Glascock,0
13127,Glynn,49
13129,Gordon,66
13131,Grady,34
13133,Greene,45
13135,Gwinnett,1222
13137,Habersham,107
13139,Hall,720
13141,Hancock,10
13143,Haralson,23
13145,Harris,44
13147,Hart,6
13149,Heard,7
13151,Henry,384
13153,Houston,185
13155,Irwin,15
13157,Jackson,56
13159,Jasper,17
13161,Jeff Davis,7
13163,Jefferson,11
13165,Jenkins,13
13167,Johnson,34
13169,Jones,20
13171,Lamar,29
13173,Lanier,7
13175,Laurens,43
13177,Lee,277
13179,Liberty,34
13181,Lincoln,9
13183,Long,2
13185,Lowndes,105
13187,Lumpkin,25
13189,McDuffie,37
13191,McIntosh,4
13193,Macon,55
13195,Madison,16
13197,Marion,29
13199,Meriwether,47
13201,Miller,23
13205,Mitchell,214
13207,Monroe,15
13209,Montgomery,2
13211,Morgan,22
13213,Murray,19
13215,Muscogee,234
13217,Newton,139
13219,Oconee,53
13221,Oglethorpe,34
13223,Paulding,143
13225,Peach,35
13227,Pickens,18
13229,Pierce,51
13231,Pike,34
13233,Polk,36
13235,Pulaski,17
13237,Putnam,26
13239,Quitman,3
13241,Rabun,8
13243,Randolph,146
13245,Richmond,295
13247,Rockdale,140
13249,Schley,16
13251,Screven,12
13253,Seminole,25
13255,Spalding,136
13257,Stephens,41
13259,Stewart,17
13261,Sumter,333
13263,Talbot,20
13265,Taliaferro,0
13267,Tattnall,5
13269,Taylor,13
13271,Telfair,15
13273,Terrell,156
13275,Thomas,133
13277,Tift,93
13279,Toombs,20
13281,Towns,15
13283,Treutlen,2
13285,Troup,105
13287,Turner,59
13289,Twiggs,4
13291,Union,15
13293,Upson,179
13295,Walker,28
13297,Walton,64
13299,Ware,92
13301,Warren,10
13303,Washington,25
13305,Wayne,9
13307,Webster,7
13309,Wheeler,3
13311,White,31
13313,Whitfield,46
13315,Wilcox,45
13317,Wilkes,19
13319,Wilkinson,22
13321,Worth,129
15001,Hawaii,64
15003,Honolulu,385
15005,Kalawao,0
15007,Kauai,21
15009,Maui,110
16001,Ada,616
16003,Adams,3
16005,Bannock,8
16007,Bear Lake,0
16009,Benewah,0
16011,Bingham,3
16013,Blaine,478
16015,Boise,0
16017,Bonner,4
16019,Bonneville,24
16021,Boundary,0
16023,Butte,0
16025,Camas,1
16027,Canyon,207
16029,Caribou,1
16031,Cassia,11
16033,Clark,0
16035,Clearwater,0
16037,Custer,2
16039,Elmore,24
16041,Franklin,0
16043,Fremont,2
16045,Gem,10
16047,Gooding,8
16049,Idaho,3
16051,Jefferson,5
16053,Jerome,44
16055,Kootenai,52
16057,Latah,4
16059,Lemhi,0
16061,Lewis,0
16063,Lincoln,17
16065,Madison,8
16067,Minidoka,10
16069,Nez Perce,40
16071,Oneida,0
16073,Owyhee,4
16075,Payette,11
16077,Power,2
16079,Shoshone,0
16081,Teton,8
16083,Twin Falls,123
16085,Valley,2
16087,Washington,1
17001,Adams,29
17003,Alexander,2
17005,Bond,4
17007,Boone,35
17009,Brown,0
17011,Bureau,8
17013,Calhoun,1
17015,Carroll,7
17017,Cass,6
17019,Champaign,97
17021,Christian,26
17023,Clark,4
17025,Clay,1
17027,Clinton,46
17029,Coles,17
17031,Cook,23181
17033,Crawford,7
17035,Cumberland,2
17037,DeKalb,56
17039,De Witt,1
17041,Douglas,12
17043,DuPage,1864
17045,Edgar,0
17047,Edwards,0
17049,Effingham,5
17051,Fayette,15
17053,Ford,6
17055,Franklin,6
17057,Fulton,1
17059,Gallatin,2
17061,Greene,1
17063,Grundy,26
17065,Hamilton,2
17067,Hancock,4
17069,Hardin,0
17071,Henderson,2
17073,Henry,31
17075,Iroquois,14
17077,Jackson,48
17079,Jasper,36
17081,Jefferson,34
17083,Jersey,10
17085,Jo Daviess,12
17087,Johnson,2
17089,Kane,684
17091,Kankakee,278
17093,Kendall,146
17095,Knox,11
17097,Lake,2287
17099,LaSalle,33
17101,Lawrence,2
17103,Lee,17
17105,Livingston,18
17107,Logan,4
17109,McDonough,3
17111,McHenry,368
17113,McLean,86
17115,Macon,60
17117,Macoupin,22
17119,Madison,190
17121,Marion,25
17123,Marshall,4
17125,Mason,5
17127,Massac,3
17129,Menard,3
17131,Mercer,5
17133,Monroe,55
17135,Montgomery,17
17137,Morgan,13
17139,Moultrie,2
17141,Ogle,59
17143,Peoria,44
17145,Perry,1
17147,Piatt,7
17149,Pike,1
17151,Pope,0
17153,Pulaski,10
17155,Putnam,0
17157,Randolph,61
17159,Richland,2
17161,Rock Island,217
17163,St. Clair,289
17165,Saline,3
17167,Sangamon,68
17169,Schuyler,1
17171,Scott,0
17173,Shelby,4
17175,Stark,1
17177,Stephenson,13
17179,Tazewell,30
17181,Union,5
17183,Vermilion,10
17185,Wabash,1
17187,Warren,15
17189,Washington,7
17191,Wayne,1
17193,White,1
17195,Whiteside,42
17197,Will,1736
17199,Williamson,16
17201,Winnebago,207
17203,Woodford,11
18001,Adams,7
18003,Allen,336
18005,Bartholomew,140
18007,Benton,4
18009,Blackford,6
18011,Boone,161
18013,Brown,14
18015,Carroll,8
18017,Cass,107
18019,Clark,181
18021,Clay,19
18023,Clinton,20
18025,Crawford,13
18027,Daviess,38
18029,Dearborn,70
18031,Decatur,171
18033,DeKalb,13
18035,Delaware,116
18037,Dubois,16
18039,Elkhart,179
18041,Fayette,22
18043,Floyd,142
18045,Fountain,8
18047,Franklin,91
18049,Fulton,6
18051,Gibson,5
18053,Grant,97
18055,Greene,44
18057,Hamilton,615
18059,Hancock,149
18061,Harrison,103
18063,Hendricks,511
18065,Henry,28
18067,Howard,71
18069,Huntington,6
18071,Jackson,98
18073,Jasper,26
18075,Jay,9
18077,Jefferson,21
18079,Jennings,64
18081,Johnson,451
18083,Knox,18
18085,Kosciusko,22
18087,LaGrange,18
18089,Lake,1227
18091,LaPorte,140
18093,Lawrence,83
18095,Madison,346
18097,Marion,4176
18099,Marshall,24
18101,Martin,6
18103,Miami,26
18105,Monroe,115
18107,Montgomery,26
18109,Morgan,124
18111,Newton,33
18113,Noble,40
18115,Ohio,2
18117,Orange,34
18119,Owen,22
18121,Parke,9
18123,Perry,6
18125,Pike,1
18127,Porter,183
18129,Posey,8
18131,Pulaski,1
18133,Putnam,53
18135,Randolph,12
18137,Ripley,83
18139,Rush,22
18141,St. Joseph,442
18143,Scott,25
18145,Shelby,120
18147,Spencer,5
18149,Starke,11
18151,Steuben,17
18153,Sullivan,10
18155,Switzerland,13
18157,Tippecanoe,59
18159,Tipton,14
18161,Union,6
18163,Vanderburgh,88
18165,Vermillion,6
18167,Vigo,60
18169,Wabash,10
18171,Warren,7
18173,Warrick,69
18175,Washington,31
18177,Wayne,28
18179,Wells,6
18181,White,8
18183,Whitley,16
19001,Adair,1
19003,Adams,0
19005,Allamakee,44
19007,Appanoose,2
19009,Audubon,1
19011,Benton,24
19013,Black Hawk,366
19015,Boone,6
19017,Bremer,32
19019,Buchanan,11
19021,Buena Vista,2
19023,Butler,2
19025,Calhoun,0
19027,Carroll,1
19029,Cass,1
19031,Cedar,26
19033,Cerro Gordo,14
19035,Cherokee,1
19037,Chickasaw,3
19039,Clarke,2
19041,Clay,3
19043,Clayton,8
19045,Clinton,44
19047,Crawford,6
19049,Dallas,55
19051,Davis,0
19053,Decatur,0
19055,Delaware,3
19057,Des Moines,13
19059,Dickinson,2
19061,Dubuque,48
19063,Emmet,0
19065,Fayette,7
19067,Floyd,0
19069,Franklin,1
19071,Fremont,0
19073,Greene,1
19075,Grundy,6
19077,Guthrie,4
19079,Hamilton,2
19081,Hancock,3
19083,Hardin,4
19085,Harrison,14
19087,Henry,29
19089,Howard,4
19091,Humboldt,1
19093,Ida,0
19095,Iowa,13
19097,Jackson,5
19099,Jasper,53
19101,Jefferson,7
19103,Johnson,372
19105,Jones,16
19107,Keokuk,3
19109,Kossuth,1
19111,Lee,3
19113,Linn,460
19115,Louisa,242
19117,Lucas,0
19119,Lyon,5
19121,Madison,4
19123,Mahaska,8
19125,Marion,5
19127,Marshall,224
19129,Mills,2
19131,Mitchell,2
19133,Monona,7
19135,Monroe,0
19137,Montgomery,1
19139,Muscatine,230
19141,O'Brien,3
19143,Osceola,4
19145,Page,4
19147,Palo Alto,0
19149,Plymouth,9
19151,Pocahontas,0
19153,Polk,415
19155,Pottawattamie,18
19157,Poweshiek,14
19159,Ringgold,0
19161,Sac,0
19163,Scott,179
19165,Shelby,9
19167,Sioux,7
19169,Story,19
19171,Tama,223
19173,Taylor,1
19175,Union,1
19177,Van Buren,8
19179,Wapello,6
19181,Warren,20
19183,Washington,124
19185,Wayne,0
19187,Webster,3
19189,Winnebago,2
19191,Winneshiek,7
19193,Woodbury,81
19195,Worth,1
19197,Wright,2
20001,Allen,0
20003,Anderson,0
20005,Atchison,6
20007,Barber,1
20009,Barton,9
20011,Bourbon,7
20013,Brown,0
20015,Butler,12
20017,Chase,1
20019,Chautauqua,3
20021,Cherokee,7
20023,Cheyenne,0
